panel,groups,date,,date 2,cest,session,track,authors,speaker,affiliation,title,description,type,action,link,image
1,one,"Monday, 27 Sep",,,,Visualizing Uncertainty,Visualizing Uncertainty,"Georgia Panagiotidou and Andrew Vande Moere, <small>KU Leuven, Belgium</small>",Georgia Panagiotidou,"KU Leuven, Belgium",Communicating Qualitative Uncertainty in Data Visualisation,"Qualitative uncertainty originating from implicit data issues such as the circumstances of collection, its storage or even the assumptions of its authors can cloud decision-making. Nevertheless, being non-quantifiable, such uncertainty is often overlooked in visualisations. In this talk we present two case studies within the digital humanities in which we encountered and then examined how to integrate qualitative uncertainty in our visualisation designs. Using these cases as a starting point we discuss how uncertainty visualisation should be understood within its socio-technological context, propose that interaction design patterns can perhaps help design for it and call for the further development of participatory activities specifically catered for understanding qualitative uncertainties.",paper,watch the video,,
1,one,"Monday, 27 Sep",,,,,,"Aspen Hopkin and Harini Suresh, <small>MIT, USA</small>",Aspen Hopkins,"MIT, USA",Communicating Uncertainty in Machine Learning Systems,"ML systems are the product of complex sociotechnical processes, each of which introduces distinct forms of uncertainty into the final output. Communicating this uncertainty is critical for building appropriate trust, but is often achieved through simple, cumulative encodings that may obfuscate uncertainty’s underlying complexity. Our work is aimed at exploring how and what uncertainty measures should be presented to different stakeholders. Through several examples, we describe how different sources of uncertainty and different stakeholders of machine learning systems require different visual representations of uncertainty. Finally, we begin disentangling underlying dimensions of domains, models, and stakeholders that motivate this heterogeneous treatment.",paper,watch the video,,
1,one,"Monday, 27 Sep",,,,,,"Alec Barrett, <small>Parsons School of Design, USA</small>",Alec Barrett,"Parsons School of Design, USA",Visualizing ranked choice voting: a case study in civic education,"In 2021, New York City adopted Ranked Choice Voting for municipal elections. Before the June primaries, a civic education effort used various tools to explain the new ballot design and accompanying vote-counting system to the city’s diverse electorate. After the election, government and news graphics showed the results from dozens of contests encompassing hundreds of thousands of votes. This paper evaluates RCV tools from educational campaigns and news media in terms of clarity, precision, and accuracy. We identify three criteria for successful graphics and present an interactive simulator that illustrates their importance for informed voters and transparent elections.",paper,watch the video,,
2,two,"Tuesday, 28 Sep",,,,Getting Critical,Getting Critical,"derya akbaba, <small>University of Utah, USA</small><br>
Lauren Klein, <small>Emory University, USA</small><br>
Miriah Meyer, <small>University of Utah, USA</small>",derya akbaba,"University of Utah, usa",Reflections on applying feminist theory to visualization research,"Emerging work in feminist visualization is invaluable to the community: highlighting overlooked areas of work, implicating our research with ethics, and introducing important concepts from feminist literature. The value of feminist theory as a how-to guide for design principles is critical and necessary, but we believe there is more work that theory can do. Specifically, feminist theory is a lens we can use to better characterize interaction with visualizations to understand how knowledge is gained, along with generative ways to expose systems of power entangled with it. We present our process for engaging with feminist theory, preliminary results, and our speculations for future feminist visualization research.",lighting-talk,watch the video,,
2,two,"Tuesday, 28 Sep",,,,,,"Nicole Hengesbach, <small>University of Warwick, UK</small>",Nicole Hengesbach,"University of Warwick, uk","What would a critical visualisation look like? Exploring pluralism to surface
limitations in urban data","Many critiques of visualisation(s) derive from the presentation of data as static and given representations of phenomena within seamless interfaces. In this talk, I’ll examine alternative representations of an urban tree data visualisation guided by the principle of pluralism. Together, these exploratory representations build a richer picture by revealing limitations and otherwise hidden qualities of these data. I’ll talk about what we can learn about the data and the represented trees through this approach and suggest key considerations for critical urban data visualisation(s) that are highlighted by this work.",lighting-talk,watch the video,,
2,two,"Tuesday, 28 Sep",,,,,,"Olga Lopes, <small>Universidade Federal de Santa Catarina, Brazil</small>",Olga Lopes,"Universidade Federal de Santa Catarina, Brazil",Gaps made visible — narrative patterns of emotional resonance in data representations of Rio de Janeiro's communities,"This research borrows from feminist critique of data science to investigate power imbalances in the representation of marginalized social groups. Using content analysis, we examine how these tensions manifest in the work of data_labe, a narrative online news outlet based on Complexo da Maré in Rio de Janeiro. Observing the presence of three narrative patterns connected to strategies of emotional resonance we showcase how data_labe’s production aesthetically re-signify failures of the data collection. We further discuss how this use of data visualization challenges the ideology of neutrality that permeates the mainstream discourse about the role of data representation in journalism.",lighting-talk,watch the video,,
3,two,"Tuesday, 28 Sep",,,,Reframing Maps,Reframing Maps,"Olivia Vane and Katherine McDonough, <small>British Library, UK</small>",Olivia Vane and Katherine McDonough,University of Waterloo,Maps in Time: Visualising the Historical Ordnance Survey,"A division is often made between maps and timelines. This presentation from the Living with Machines project explores combining the two, visualising a dataset of 130,000 maps from the early Ordnance Survey (OS), Britain’s national mapping agency. It was the OS who, from the early 19th century, created the first comprehensive, detailed and accurate picture of Great Britain. We show how animated data graphics can bring the story of the maps to life for a popular audience. We also visualise the data by space and time to support analysis in research.",paper,watch the video,,https://drive.google.com/file/d/12QLwK3VrQYIN41GPcUVHSE2QpuUns79b/view?usp=sharing
3,two,"Tuesday, 28 Sep",,,,,,"Andrew Richardson, <small>Northumbria University, UK</small>",Andrew Richardson,"Northumbria University, UK",A Dynamic Topography for Visualising Time and Space in Fictional Literary Texts,"This paper will address the complex problem of visualising time and space in fictional literary texts. Undertaken as part of the Chronotopic Cartographies research project, an experimental practice-led enquiry was used to generate 'temporal' topographic landscapes - interactive 3D environments which visualise the spatial and temporal relationships which emerge over the course of a narrative as a dynamic topographic terrain. The paper will present an overview of the process, outcomes and initial user feedback - in order to demonstrate the potential of this approach as a new model for visualising and analysing the spatial and temporal qualities of literary texts.",paper,watch the video,,
3,two,"Tuesday, 28 Sep",,,,,,"Jessica Thompson, <small>University of Waterloo, Canada</small>",Jessica Thompson,University of Waterloo,Noise Complaints as Sonic Warfare: An intersectional approach to listening through data,"Cities reveal themselves through sound, indicating territory, demographics, or functionality and politicizing urban space through its ability to invade the space of others and affect behaviour. How we perceive, understand and interpret sound is closely aligned with systems of power, which is particularly evident in how we define, interpret and respond to noise. This presentation examines noise complaints as an instrument of sonic warfare by examining complaints made in gentrifying areas of New York, in particular, in historically Black and Latinx neighborhoods, areas that are undergoing significant socioeconomic change, and/or are located near mainly white neighborhoods.",lighting-talk,watch the video,,
3,two,"Tuesday, 28 Sep",,,,,,"Nivia Jain, Bhavini Kapur, Gokul Gupta and Siddhant Gautam <small>National Institute of Design, India</small><br>
Kiranmayi Yenduri, <small>Cornell University, India</small>",Nivia Jain,"National Institute of Design, India",Socio-spatial structures of craft-based cities,"The study aims to understand the city network and infrastructure that assists the sustenance of a craft-based economic activity in a city. The methodology involves documenting the spatial structure of craft-based cities through the lens of task connectivity theory (assuming each task as a step in the production cycle of bangle making) using graph theory, charting each node as the centre of the task performed. The resultant connections determine the flow of goods or services between these centres. The output can assist in an insightful visual interpretation of existing socio-economic structures to shape urban policies and further be used to simulate scenarios for informed future developments.",lighting-talk,watch the video,,
